# Điểm trúng tuyển các năm của Trường Đại học Nha Trang
Source: https://tuyensinh.ntu.edu.vn/diem-trung-tuyen-cac-nam
## Bang 1
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Điểm thi TN THPT 2025 | - | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp có môn Toán hệ số 1 | Tổ hợp có môn Toán hệ số 2; hoặc Tiếng Anh hệ số 2 | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- I | Chương trình đào tạo đặc biệt | - | - | - | - | - | -
- 18 | 7520116 | Kỹ thuật cơ khí động lực | A00; A01; C01; D07 | 16,0 | - | TO; VL; HH; CN | 22 | - | 500 | -
- 19 | 7520122 | Kỹ thuật tàu thủy | A00; A01; C01; D07 | 16,0 | - | TO; VL; HH; CN | 24 | - | 500 | -
- 20 | 7520130 | Kỹ thuật ô tô | A01; D01; D07; D90 | 20,0 | - | TO; VL; HH; CN | 27 | - | 600 | -
- 21 | 7520201 | Kỹ thuật điện (chuyên ngành Kỹ thuật điện, điện tử) | A01; D01; D07; D90 | 18,0 | - | TO; VL; HH; CN | 23 | - | 550 | -
- 22 | 7520216 | Kỹ thuật điều khiển và tự động hóa | A01; D01; D07; D90 | 16,0 | - | TO; VL; HH; CN | 23 | - | 550 | -
- 23 | 7580201 | Kỹ thuật xây dựng (02 chuyên ngành: Kỹ thuật xây dựng; Quản lý xây dựng) | A01; D01; D07; D90 | 17,0 | - | TO; VL; HH; CN | 23 | - | 550 | -
- 24 | 7580205 | Kỹ thuật xây dựng công trình giao thông | A01; D01; D07; D90 | 16,0 | - | TO; VL; HH; CN | 22 | - | 550 | -
- 25 | 7520301 | Kỹ thuật hoá học | A00; A01; B00; D07 | 16,0 | - | TO; VL; HH; CN | 22 | - | 500 | -
- 26 | 7540101 | Công nghệ thực phẩm (02 chuyên ngành: Công nghệ thực phẩm; Đảm bảo chất lượng và an toàn thực phẩm) | A01; D01; D07; D90 | 17,0 | - | TO; VL; HH; SH | 24 | - | 550 | -
- 27 | 7540105 | Công nghệ chế biến thuỷ sản (02 chuyên ngành: Công nghệ chế biến thủy sản; Công nghệ sau thu hoạch) | A01; B00; D01; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 500 | -
- 28 | 7480201 | Công nghệ thông tin (03 chuyên ngành: Công nghệ phần mềm; Hệ thống thông tin; Truyền thông và Mạng máy tính) | A01; D01; D07; D90 | 21,0 | 4,5 | TO; VL; TH; CN | 28 | 5,5 | 650 | 100
- 29 | 7340405 | Hệ thống thông tin quản lý | A01; D01; D07; D96 | 18,0 | - | TO; VL; TH; CN | 25 | - | 600 | -
- 30 | 7810103 | Quản trị dịch vụ du lịch và lữ hành | D01; D14; D15; D96 | 21,0 | 5,0 | TA; LS; ĐL; GDCD | 27 | 5,5 | 600 | 110
- 31 | 7810201 | Quản trị khách sạn | D01; D14; D15; D96 | 22,0 | 5,0 | TA; LS; ĐL; GDCD | 27 | 5,5 | 600 | 110
- 32 | 7340101 | Quản trị kinh doanh | D01; D14; D15; D96 | 20,5 | 5,0 | TA; LS; ĐL; GDCD | 28 | 6 | 675 | 120
- 33 | 7340115 | Marketing | D01; D14; D15; D96 | 23,0 | 5,0 | TA; LS; ĐL; GDCD | 30 | 6 | 675 | 120
- 34 | 7340121 | Kinh doanh thương mại | D01; D14; D15; D96 | 23,0 | 5,0 | TA; LS; ĐL; GDCD | 27 | 5,5 | 650 | 110
- 35 | 7340201 | Tài chính - Ngân hàng (02 chuyên ngành: Tài chính - Ngân hàng; Công nghệ tài chính) | D01; D14; D15; D96 | 20,5 | 4,5 | TA; LS; ĐL; GDCD | 27 | 5,5 | 650 | 110
- 36 | 7340301 | Kế toán (02 chuyên ngành: Kế toán; Kiểm toán) | D01; D14; D15; D96 | 21,0 | 4,5 | TA; LS; ĐL; GDCD | 28 | 5,5 | 650 | 110
- 37 | 7380101 | Luật (02 chuyên ngành: Luật, Luật kinh tế) | D01; D14; D15; D96 | 19,0 | - | TA; LS; ĐL; GDCD | 28 | - | 600 | -
- 38 | 7220201 | Ngôn ngữ Anh (04 chuyên ngành: Biên - phiên dịch; tiếng Anh du lịch; Giảng dạy tiếng Anh; Song ngữ Anh - Trung) | D01; D14; D15; D96 | 23,0 | 6,5 | TA; LS; ĐL; GDCD | 30 | 7 | 650 | 130
- 39 | 7310101 | Kinh tế (02 chuyên ngành: Kinh tế thủy sản; Quản lý kinh tế) | D01; D14; D15; D96 | 18,0 | - | TA; LS; ĐL; GDCD | 26 | - | 600 | -
- 40 | 7310105 | Kinh tế phát triển | D01; D14; D15; D96 | 20,0 | - | TA; LS; ĐL; GDCD | 26 | - | 600 | -
Điểm chuẩn trúng tuyển và điều kiện tiếng Anh theo các ngành và chương trình đào tạo
### Bang 4
- TT | Mã ngành | Tên ngành | Điểm chuẩn trúng tuyển | - | - | Điểm điều kiện tiếng Anh (PT Điểm thi THPT và Điểm xét TN)
- TT | Mã ngành | Tên ngành | Phương thức điểm thi THPT 2022 (Thang điểm 30) | Phương thức điểm xét TN THPT 2022 (Thang điểm 10) | Phương thức điểm thi ĐGNL của ĐHQG-HCM 2022 (Thang điểm 1200) | Điểm điều kiện tiếng Anh (PT Điểm thi THPT và Điểm xét TN)
- I | Chương trình tiên tiến – Chất lượng cao | - | - | - | - | -
- 1 | 7340101 A | Quản trị kinh doanh (Chương trình song ngữ Anh-Việt) | 20.0 | 7.4 | 725 | 6.0
- 2 | 7340301 PHE | Kế toán (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 18.0 | 7.0 | 725 | 5.5
- 3 | 7480201 PHE | Công nghệ thông tin (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 19.0 | 7.0 | 725 | 5.5
- 4 | 7810201 PHE | Quản trị khách sạn (chương trình định hướng nghề nghiệp, đào tạo song ngữ Anh-Việt) | 19.0 | 7.0 | 725 | 6.0
- II | Chương trình chuẩn/đại trà | - | - | - | - | -
- 5 | 7620304 | Khai thác thuỷ sản (03 chuyên ngành: Khai thác thuỷ sản, Khai thác hàng hải thủy sản, Khoa học thủy sản) | 15.5 | 5.7 | 600 | -
- 6 | 7620305 | Quản lý thuỷ sản | 16.0 | 6.0 | 650 | -
